sample_index,timestamp,x_offset,y_offset,pitch,roll,z_offset,vibration_rms,repeat_position_error,calibration_residual_x,calibration_residual_y,mtf_center,mtf_lt,mtf_rt,mtf_lb,mtf_rb
0,2026-07-18T00:00:00Z,0.100000,-0.050000,0.250000,-0.200000,0.000000,0.016518,0.013423,0.006896,-0.004497,0.832431,0.711582,0.755450,0.634315,0.569696
1,2026-07-18T00:00:01Z,0.100000,-0.050000,0.250000,-0.200000,0.000000,0.017808,0.015310,0.006600,-0.003577,0.831661,0.713969,0.749048,0.637644,0.564138
2,2026-07-18T00:00:02Z,0.100000,-0.050000,0.250000,-0.200000,0.000000,0.016384,0.013405,0.005669,-0.003542,0.829350,0.717948,0.753745,0.630843,0.566348
3,2026-07-18T00:00:03Z,0.100000,-0.050000,0.250000,-0.200000,0.000000,0.016058,0.014934,0.005197,-0.004998,0.829252,0.711035,0.748434,0.632742,0.567019
4,2026-07-18T00:00:04Z,0.100000,-0.050000,0.250000,-0.200000,0.000000,0.019692,0.013008,0.006633,-0.004200,0.829433,0.715711,0.755555,0.634485,0.565564
5,2026-07-18T00:00:05Z,0.100000,-0.050000,0.250000,-0.200000,0.000000,0.016413,0.015040,0.005912,-0.003184,0.829664,0.717800,0.749582,0.631331,0.568380
6,2026-07-18T00:00:06Z,0.100000,-0.050000,0.250000,-0.200000,0.000000,0.017716,0.013323,0.005823,-0.004053,0.829568,0.712352,0.754573,0.637268,0.571483
7,2026-07-18T00:00:07Z,0.100000,-0.050000,0.250000,-0.200000,0.000000,0.019325,0.012880,0.005264,-0.004041,0.829141,0.717524,0.755204,0.632456,0.566981
8,2026-07-18T00:00:08Z,0.100000,-0.050000,0.250000,-0.200000,0.000000,0.019047,0.012576,0.005316,-0.004871,0.829200,0.711973,0.753469,0.631697,0.564378
9,2026-07-18T00:00:09Z,0.100000,-0.050000,0.250000,-0.200000,0.000000,0.018021,0.014166,0.006752,-0.003708,0.831809,0.715444,0.749878,0.631410,0.570404
10,2026-07-18T00:00:10Z,0.100000,-0.050000,0.250000,-0.200000,0.000000,0.019911,0.015104,0.006042,-0.004609,0.833268,0.713128,0.755349,0.636797,0.569256
11,2026-07-18T00:00:11Z,0.100000,-0.050000,0.250000,-0.200000,0.000000,0.019648,0.014916,0.005921,-0.004006,0.832024,0.710164,0.755667,0.633653,0.564116
12,2026-07-18T00:00:12Z,0.100000,-0.050000,0.250000,-0.200000,0.000000,0.016337,0.012800,0.005653,-0.003433,0.830955,0.714625,0.751633,0.630539,0.571168
13,2026-07-18T00:00:13Z,0.100000,-0.050000,0.250000,-0.200000,0.000000,0.016596,0.014275,0.005518,-0.003111,0.830984,0.717783,0.750059,0.632998,0.568785
14,2026-07-18T00:00:14Z,0.100000,-0.050000,0.250000,-0.200000,0.000000,0.019245,0.013666,0.005061,-0.003147,0.831082,0.717139,0.754821,0.632523,0.568526
15,2026-07-18T00:00:15Z,0.100000,-0.050000,0.250000,-0.200000,0.000000,0.018120,0.014605,0.006033,-0.004755,0.833186,0.716845,0.749797,0.637943,0.564495
16,2026-07-18T00:00:16Z,0.100000,-0.050000,0.250000,-0.200000,0.000000,0.017239,0.014905,0.006359,-0.003077,0.831042,0.716583,0.751201,0.636073,0.567209
17,2026-07-18T00:00:17Z,0.100000,-0.050000,0.250000,-0.200000,0.000000,0.018960,0.014622,0.005267,-0.004382,0.830042,0.715585,0.749886,0.635608,0.564901
18,2026-07-18T00:00:18Z,0.100000,-0.050000,0.250000,-0.200000,0.000000,0.016674,0.014553,0.006744,-0.004700,0.832707,0.713808,0.753713,0.633121,0.568695
19,2026-07-18T00:00:19Z,0.100000,-0.050000,0.250000,-0.200000,0.000000,0.018187,0.014201,0.005374,-0.003915,0.830719,0.717491,0.754230,0.633622,0.567013
20,2026-07-18T00:00:20Z,0.100000,-0.050000,0.250000,-0.200000,0.000000,0.017222,0.015473,0.006797,-0.004543,0.831758,0.712666,0.752698,0.636231,0.566537
21,2026-07-18T00:00:21Z,0.100000,-0.050000,0.250000,-0.200000,0.000000,0.017011,0.014068,0.006355,-0.003087,0.830511,0.715905,0.754839,0.634938,0.571326
22,2026-07-18T00:00:22Z,0.100000,-0.050000,0.250000,-0.200000,0.000000,0.019135,0.013216,0.005567,-0.004443,0.832471,0.717524,0.752484,0.634278,0.569537
23,2026-07-18T00:00:23Z,0.100000,-0.050000,0.250000,-0.200000,0.000000,0.017891,0.013499,0.006592,-0.004198,0.831815,0.714649,0.749174,0.632968,0.568447
